iter	Passed	Remaining
0	0	853
1	1	812
2	2	780
3	3	753
4	3	743
5	4	728
6	5	718
7	5	714
8	6	707
9	7	703
10	7	700
11	8	726
12	9	726
13	10	723
14	10	721
15	11	718
16	12	744
17	13	753
18	14	762
19	15	762
20	16	761
21	17	757
22	17	754
23	18	749
24	19	746
25	19	742
26	20	739
27	21	735
28	21	732
29	22	730
30	23	748
31	24	750
32	25	747
33	26	745
34	26	743
35	27	747
36	28	746
37	29	745
38	30	746
39	31	749
40	31	747
41	32	747
42	33	743
43	34	739
44	34	736
45	35	737
46	36	736
47	37	734
48	37	731
49	38	729
50	39	726
51	39	725
52	40	723
53	41	722
54	41	719
55	42	717
56	44	732
57	45	740
58	46	741
59	47	744
60	48	745
61	49	745
62	49	742
63	50	741
64	51	739
65	52	736
66	52	734
67	53	731
68	54	729
69	54	728
70	55	727
71	56	725
72	56	722
73	57	721
74	59	727
75	59	728
76	61	731
77	61	731
78	62	729
79	63	728
80	64	728
81	64	726
82	65	721
83	65	719
84	66	717
85	67	715
86	67	713
87	68	710
88	69	709
89	70	708
90	70	706
91	71	703
92	71	701
93	72	700
94	73	698
95	74	699
96	75	704
97	76	705
98	77	703
99	78	702
100	78	700
101	79	698
102	80	698
103	80	696
104	81	696
105	82	697
106	83	695
107	84	694
108	84	693
109	85	691
110	86	689
111	86	687
112	87	686
113	88	684
114	88	684
115	89	685
116	91	692
117	92	691
118	93	690
119	93	687
120	94	686
121	95	683
122	95	681
123	96	679
124	96	678
125	97	676
126	97	673
127	98	671
128	99	669
129	99	668
130	100	667
131	101	666
132	101	664
133	102	662
134	103	660
135	105	670
136	106	670
137	107	669
138	107	668
139	108	667
140	109	665
141	109	662
142	110	661
143	111	660
144	111	660
145	112	658
146	113	656
147	113	655
148	114	653
149	115	652
150	115	650
151	116	649
152	117	647
153	117	646
154	118	645
155	119	644
156	120	644
157	120	643
158	121	643
159	122	643
160	122	640
161	123	638
162	124	637
163	124	636
164	125	635
165	126	634
166	126	632
167	127	631
168	128	630
169	128	629
170	129	627
171	130	626
172	130	624
173	131	623
174	132	622
175	132	621
176	133	620
177	134	622
178	135	621
179	136	620
180	136	619
181	137	618
182	138	617
183	139	616
184	139	615
185	140	614
186	141	614
187	141	612
188	142	612
189	143	611
190	144	610
191	144	609
192	145	607
193	145	606
194	146	605
195	147	603
196	147	602
197	148	601
198	149	601
199	150	600
200	150	599
201	151	598
202	152	597
203	152	595
204	153	594
205	153	593
206	154	592
207	155	591
208	155	589
209	156	588
210	157	587
211	157	586
212	158	584
213	158	583
214	159	582
215	160	581
216	160	580
217	161	579
218	161	577
219	162	576
220	163	575
221	163	574
222	165	575
223	165	574
224	166	573
225	167	572
226	167	571
227	168	570
228	169	569
229	169	568
230	170	567
231	170	565
232	171	564
233	172	563
234	172	562
235	173	561
236	174	560
237	174	559
238	175	557
239	175	556
240	176	555
241	177	554
242	177	553
243	178	552
244	179	553
245	180	553
246	181	552
247	181	551
248	182	550
249	183	549
250	183	548
251	184	547
252	185	546
253	185	545
254	186	544
255	186	543
256	187	542
257	188	541
258	188	540
259	189	539
260	190	538
261	190	537
262	191	536
263	192	535
264	192	534
265	193	533
266	194	533
267	195	533
268	196	532
269	196	532
270	197	531
271	198	530
272	198	529
273	199	528
274	200	527
275	200	526
276	201	526
277	202	525
278	202	524
279	203	523
280	204	522
281	204	521
282	205	520
283	205	519
284	206	518
285	207	517
286	207	516
287	208	515
288	209	515
289	210	515
290	211	514
291	212	514
292	212	513
293	213	512
294	214	511
295	214	510
296	215	509
297	215	508
298	216	508
299	217	507
300	218	506
301	218	505
302	219	504
303	220	503
304	220	502
305	221	502
306	222	501
307	222	500
308	223	500
309	224	500
310	225	499
311	226	498
312	226	497
313	227	497
314	228	496
315	228	495
316	229	494
317	230	493
318	230	492
319	231	491
320	232	490
321	232	489
322	233	489
323	233	488
324	234	487
325	235	486
326	235	485
327	236	484
328	237	483
329	237	482
330	238	481
331	239	481
332	240	480
333	240	479
334	241	478
335	241	477
336	242	477
337	243	475
338	243	475
339	244	474
340	244	473
341	245	472
342	246	471
343	246	470
344	247	469
345	248	468
346	248	468
347	249	467
348	249	466
349	250	465
350	251	464
351	251	463
352	252	462
353	253	461
354	253	461
355	254	460
356	255	459
357	256	459
358	256	458
359	257	457
360	258	456
361	258	456
362	259	455
363	260	454
364	260	453
365	261	452
366	262	452
367	262	451
368	263	450
369	264	449
370	264	448
371	265	447
372	265	446
373	266	445
374	266	444
375	267	444
376	268	443
377	270	445
378	271	444
379	271	443
380	272	442
381	273	441
382	273	441
383	274	440
384	275	439
385	276	439
386	276	438
387	277	437
388	278	436
389	278	435
390	279	435
391	280	434
392	280	433
393	281	432
394	281	431
395	282	430
396	283	430
397	284	429
398	285	429
399	285	428
400	286	428
401	287	427
402	287	426
403	288	425
404	289	424
405	289	424
406	290	423
407	291	422
408	291	421
409	292	420
410	293	420
411	293	419
412	294	418
413	295	417
414	295	417
415	296	416
416	297	415
417	297	414
418	298	413
419	299	413
420	300	412
421	300	412
422	301	411
423	302	410
424	302	409
425	303	409
426	304	408
427	304	407
428	305	406
429	306	406
430	307	405
431	307	404
432	308	403
433	309	403
434	309	402
435	310	401
436	311	400
437	311	400
438	312	399
439	312	398
440	313	397
441	314	397
442	315	396
443	316	395
444	316	395
445	317	394
446	318	393
447	319	393
448	319	392
449	320	391
450	321	391
451	322	390
452	322	389
453	323	389
454	324	388
455	325	387
456	325	387
457	326	386
458	327	385
459	327	384
460	328	384
461	329	384
462	330	383
463	331	382
464	331	381
465	332	381
466	333	380
467	334	379
468	334	379
469	335	378
470	336	377
471	336	376
472	337	376
473	338	375
474	338	374
475	339	373
476	340	373
477	340	372
478	341	371
479	341	370
480	342	369
481	343	368
482	343	368
483	344	367
484	345	366
485	346	366
486	346	365
487	347	364
488	348	363
489	348	363
490	349	362
491	350	361
492	350	360
493	351	359
494	351	359
495	352	358
496	353	357
497	353	356
498	354	355
499	354	354
500	355	353
501	356	353
502	356	352
503	357	351
504	357	350
505	358	350
506	359	349
507	359	348
508	360	347
509	361	347
510	361	346
511	362	345
512	363	344
513	363	344
514	364	343
515	365	342
516	365	341
517	366	340
518	366	340
519	367	339
520	368	338
521	368	337
522	369	336
523	369	335
524	370	335
525	371	334
526	371	333
527	372	332
528	372	332
529	373	331
530	374	330
531	375	330
532	375	329
533	376	328
534	377	327
535	377	327
536	378	326
537	378	325
538	379	324
539	380	323
540	380	323
541	381	322
542	381	321
543	382	320
544	383	319
545	383	319
546	384	318
547	385	317
548	385	316
549	386	316
550	386	315
551	387	314
552	388	313
553	388	313
554	389	312
555	390	311
556	391	310
557	391	310
558	392	309
559	392	308
560	393	307
561	394	307
562	394	306
563	395	305
564	395	304
565	396	303
566	396	303
567	397	302
568	398	301
569	398	300
570	399	299
571	399	299
572	400	298
573	401	297
574	401	296
575	402	296
576	402	295
577	403	294
578	404	294
579	405	293
580	406	292
581	406	292
582	407	291
583	407	290
584	408	289
585	409	289
586	409	288
587	410	287
588	410	286
589	411	285
590	412	285
591	412	284
592	413	283
593	413	282
594	414	282
595	415	281
596	415	280
597	416	279
598	416	279
599	417	278
600	418	277
601	418	276
602	419	276
603	420	275
604	420	274
605	421	274
606	422	273
607	422	272
608	423	271
609	423	271
610	424	270
611	425	269
612	425	268
613	426	267
614	426	267
615	427	266
616	428	265
617	428	265
618	429	264
619	430	263
620	430	262
621	431	262
622	431	261
623	432	260
624	433	259
625	433	259
626	434	258
627	435	257
628	435	257
629	436	256
630	436	255
631	437	254
632	438	254
633	438	253
634	439	252
635	439	251
636	440	250
637	441	250
638	441	249
639	442	248
640	442	247
641	443	247
642	443	246
643	444	245
644	445	245
645	446	244
646	446	243
647	447	242
648	447	242
649	448	241
650	449	240
651	449	240
652	450	239
653	451	238
654	451	237
655	452	237
656	452	236
657	453	235
658	454	234
659	454	234
660	455	233
661	455	232
662	456	231
663	456	231
664	457	230
665	458	229
666	458	229
667	459	228
668	459	227
669	460	226
670	461	226
671	461	225
672	462	224
673	462	223
